pridavne_jmeno,prvni_stupen,druhy_stupen
maly,mensi,nejmensi,velky,vetsi,nejvetsi
svetly,svetlejsi,nejsvetlejsi,tmavy,tmavsi,nejtmavsi
bily,belejsi,nejbelejsi,cerny,cernejsi,nejcernejsi
pekny,hezci,nejhezci,osklivy,osklivejsi,nejosklivejsi
dobry,lepsi,nejlepsi,spatny,horsi,nejhorsi
slany,slanejsi,nejslanejsi,sladky,sladsi,nejsladsi
suchy,sussi,nejsussi,mokry,mokrejsi,nejmokrejsi
teply,teplejsi,nejteplejsi,studeny,studenejsi,nejstudenejsi
hruby,hrubsi,nejhrubsi,jemny,jemnejsi,nejjemnejsi
jednoduchy,jednodussi,nejjednodussi,slozity,slozitejsi,nejslozitejsi
lehky,lehci,nejlehci,tezky,tezsi,nejtezsi
kratky,kratsi,nejkratsi,dlouhy,delsi,nejdelsi
silny,silnejsi,nejsilnejsi,slaby,slabsi,nejslabsi
tvrdy,tvrdsi,nejtvrdsi,mekky,mekci,nejmekci
vysoky,vyssi,nejvyssi,nizky,nizsi,nejnizsi
tlusty,tlustsi,nejtlustsi,tenky,tenci,nejtenci
siroky,sirsi,nejsirsi,uzky,uzsi,nejuzsi
rychly,rychlejsi,nejrychlejsi,pomaly,pomalejsi,nejpomalejsi
prazdny,prazdnejsi,nejprazdnejsi,plny,plnejsi,nejplnejsi
cisty,cistsi,nejcistsi,spinavy,spinavejsi,nejspinavejsi
blizky,blizsi,nejblizsi,vzdaleny,vzdalenejsi,nejvzdalenejsi
stary,starsi,nejstarsi,novy,novejsi,nejnovejsi
chytry,chytrejsi,nejchytrejsi,hloupy,hloupejsi,nejhloupejsi
ostry,ostrejsi,nejostrejsi,zaobleny,zaoblenejsi,nejzaoblenejsi
liny,linejsi,nejlinejsi,pilny,pilnejsi,nejpilnejsi
aktivni,aktivnejsi,nejaktivnejsi,pasivni,pasivnejsi,nejpasivnejsi
nudny,nudnejsi,nejnudnejsi,zabavny,zabavnejsi,nejzabavnejsi
smutny,smutnejsi,nejsmutnejsi,stastny,stasnejsi,nejstastnejsi
statecny,statecnejsi,nejstatecnejsi,zbabely,zbabelejsi,nejzbabelejsi
bohaty,bohatsi,nejbohatsi,chudy,chudsi,nejchudsi
hluboky,hlubsi,nejhlubsi,melky,melci,nejmelci
nemocny,nemocnejsi,nejnemocnejsi,zdravy,zdravejsi,nejzdravejsi
hezky,hezci,nejhezci,osklivy,osklivejsi,nejosklivejsi
drahy,drazsi,nejdrazsi,levny,levnejsi,nejlevnejsi
sladky,sladsi,nejsladsi,kysely,kyselejsi,nejkyselejsi
rovny,rovnejsi,nejrovnejsi,krivy,krivejsi,nejkrivejsi
pracovity,pracovitejsi,nejpracovitejsi,liny,linejsi,nejlinejsi
chladny,chladnejsi,nejchladnejsi,teply,teplejsi,nejteplejsi
horky,horcejsi,nejhorcejsi,studeny,studenejsi,nejstudenejsi
muzsky,muznejsi,nejmuznejsi,zensky,zenstejsi,nejzenstejsi
