sloveso,antonym
obleci,vysvleci
zmensit,zvetsit
meknout,tvrdnout
stabilizovat,destabilizovat
umrit,narodit
zchladit,zahrat
zjednodusit,zkomplikovat
centralizovat,decentralizovat
ztvrdnout,zmeknout
secist,odecist
vynasobit,vydelit
nedocenit,ocenit
existovat,neexistovat
spojit,uvolnit
zasifrovat,rozlustit
vazat,uvolnit
napadat,hajit
zapnout,rozepnout
stahnout,natahnout
odpojit,zapojit
slyset,neslyset
dojit,odejit
rozsvitit,zhasnout
smontovat,rozlozit
koupit,prodat
narovnat,ohnout
zacinat,koncit
zorientovat,dezorientovat
koupit,prodat
davat,brat
stat,sedet
vystoupit,nastoupit
ziskat,ztratit
zapsat,vymazat
