mesto,stat,prezident
belgie,brusel,filip_i.
belorusko,minsk,alexandr_lukasenko
bulharsko,sofie,rosen_plevneliev
cesko,praha,milos_zeman
dansko,kodan,marketa_ii.
estonsko,tallinn,toomas_hendrik_ilves
finsko,helsinky,sauli_niinisto
francie,pariz,francois_hollande
chorvatsko,zahreb,ivo_josipovic
irsko,dublin,michael_daniel_higgins
island,reykjavik,ragnar_grimsson
italie,rim,sergio_mattarella
lichtenstejnsko,vaduz,jan_adam_ii.
litva,vilnius,dalia_grybauskaiteova
lotyssko,riga,andris_berzins
lucembursko,lucemburk,jindrich_i._lucembursky
madarsko,budapest,ader_janos
monako,monaco-ville,albert_ii.
nemecko,berlin,joachim_gauck
nizozemsko,amsterodam,vilem_alexandr_nizozemsky
norsko,oslo,harald_v.
polsko,varsava,bronislaw_komorowski
portugalsko,lisabon,anibal_cavaco_silva
rakousko,viden,heinz_fischer
rumunsko,bukurest,traian_basescu
rusko,moskva,vladimir_putin
recko,atheny,karolos_papulias
slovensko,bratislava,andrej_kiska
slovinsko,lublan,borut_pahor
srbsko,belehrad,tomislav_nikolic
spanelsko,madrid,filip_vi._spanelsky
svedsko,stockholm,karel_xvi._gustav
svycarsko,bern,didier_burkhalter
ukrajina,kyjev,petro_porosenko
