povolani muz,povolani zena
ekonom,ekonomka
architekt,architektka
uklizec,uklizecka
cestovatel,cestovatelka
programator,programatorka
sociolog,sociolozka
asistent,asistentka
pravnik,pravnicka
kontrolor,kontrolorka
lektor,lektorka
fyzioterapeut,fyzioterapeutka
maser,maserka
lekar,lekarka
malir,malirka
osetrovatel,osetrovatelka
cukrar,cukrarka
psycholog,psycholozka
ridic,ridicka
trener,trenerka
ucitel,ucitelka
bratr,sestra
ridic,ridicka
reditel,reditelka
spisovatel,spisovatelka
umelec,umelkyne
manazer,manazerka
analytik,analyticka
delnik,delnice
kuchar,kucharka
cisnik,cisnice
policista,policistka
postak,postacka
herec,herecka
reporter,reporterka
novinar,novinarka
