sloveso,min.cas
byt,byl
rici,rekl
mit,mel
uvest,uvedl
prohlasit,prohlasil
moci,mohl
stat,stal
dostat,dostal
oznamit,oznamil
zacit,zacal
dat,dal
sdelit,sdelil
dodat,dodal
muset,musel
chtit,chtel
oznacit,oznacil
potvrdit,potvrdil
vyhrat,vyhral
ziskat,ziskal
prijit,prisel
zduraznit,zduraznil
vyjadrit,vyjadril
skoncit,skoncil
informovat,informoval
vyslovit,vyslovil
vratit,vratil
napsat,napsal
poznamenat,poznamenal
konstatovat,konstatoval
odpovedet,odpovedel
videt,videl
pracovat,pracoval
hrat,hral
objevit,objevil
podepsat,podepsal
vyzvat,vyzval
zvitezit,zvitezil
reagovat,reagoval
jednat,jednal
zahajit,zahajil
hovorit,hovoril
upozornit,upozornil
ukazat,ukazal
navstivit,navstivil
pozadat,pozadal
vydat,vydal
zemrit,zemrel
vstoupit,vstoupil
vedet,vedel
snazit,snazil
nechat,nechal
vest,vedl
davat,daval
zastrelit,zastrelil
usadit,usadil
presvedcit,presvedcil
zachranit,zachranil
chodit,chodil
schovat,schoval
prosadit,prosadil
ohrozit,ohrozil
pomoci,pomohl
zmizet,zmizel
vyresit,vyresil
zablokovat,zablokoval
vsadit,vsadil
odjet,odjel
odhalit,odhalil
slouzit,slouzil
poznat,poznal
probudit,probudil
polozit,polozil
projit,prosel
zeptat,zeptal
udrzovat,udrzoval
ohlasit,ohlasil
bydlet,bydlel
hostovat,hostoval
investovat,investoval
vydat,vydal
vynest,vynesl
hodit,hodil
pristoupit,pristoupil
zabyvat,zabyval
vzrust,vzrostl
umet,umel
zahnat,zahnal
hrozit,hrozil
prekrocit,prekrocil
natocit,natocil
vzbudit,vzbudil
precist,precetl
uvolnit,uvolnil
pozvat,pozval
promenit,promenil
